Station_ID,TIMESTAMP,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,LAT,LON,Elevation
,,Celsius,%,m/s,Degrees,-14.331,-170.7105,9
NSTU,2017-01-11T10:50:00-1100,30.9,77.99,3.6,80,-14.331,-170.7105,9
NSTU,2017-01-11T11:50:00-1100,30.2,75.61,3.09,,-14.331,-170.7105,9
NSTU,2017-01-11T12:51:00-1100,29.9,82.09,2.06,,-14.331,-170.7105,9
NSTU,2017-01-11T13:50:00-1100,30.8,75.71,3.09,,-14.331,-170.7105,9
NSTU,2017-01-11T14:55:00-1100,31.6,68.59,3.09,40,-14.331,-170.7105,9
NSTU,2017-01-11T15:50:00-1100,31.1,72.69,3.09,30,-14.331,-170.7105,9
NSTU,2017-01-11T16:50:00-1100,31,74.41,3.09,20,-14.331,-170.7105,9
NSTU,2017-01-11T17:50:00-1100,29.7,75.98,2.57,,-14.331,-170.7105,9
NSTU,2017-01-11T18:50:00-1100,28.7,81.45,1.03,340,-14.331,-170.7105,9
NSTU,2017-01-11T19:50:00-1100,28.5,82.89,1.03,,-14.331,-170.7105,9
NSTU,2017-01-11T20:55:00-1100,28.4,81.42,0,0,-14.331,-170.7105,9
NSTU,2017-01-11T21:52:00-1100,28.4,79.5,1.54,,-14.331,-170.7105,9
NSTU,2017-01-11T22:52:00-1100,27.8,82.81,1.03,,-14.331,-170.7105,9
NSTU,2017-01-11T23:50:00-1100,27.1,86.26,1.54,,-14.331,-170.7105,9
NSTU,2017-01-12T00:52:00-1100,27.7,83.79,0,0,-14.331,-170.7105,9
NSTU,2017-01-12T01:51:00-1100,27.9,82.33,1.54,,-14.331,-170.7105,9
NSTU,2017-01-12T02:51:00-1100,27.5,84.27,1.54,,-14.331,-170.7105,9
NSTU,2017-01-12T03:51:00-1100,27.7,82.8,1.54,,-14.331,-170.7105,9
NSTU,2017-01-12T04:53:00-1100,27.4,83.26,1.03,,-14.331,-170.7105,9
NSTU,2017-01-12T05:50:00-1100,26.2,88.8,1.54,,-14.331,-170.7105,9
NSTU,2017-01-12T06:50:00-1100,27.1,88.34,1.03,,-14.331,-170.7105,9
NSTU,2017-01-12T07:50:00-1100,29.2,80.56,1.03,,-14.331,-170.7105,9
NSTU,2017-01-12T08:50:00-1100,29.5,78.24,3.6,310,-14.331,-170.7105,9
NSTU,2017-01-12T09:50:00-1100,29.4,80.58,2.06,,-14.331,-170.7105,9
NSTU,2017-01-12T10:50:00-1100,30.4,80.71,3.09,,-14.331,-170.7105,9
NSTU,2017-01-12T11:50:00-1100,29.7,77.35,3.09,,-14.331,-170.7105,9
NSTU,2017-01-12T12:50:00-1100,30.9,77.53,2.57,,-14.331,-170.7105,9
NSTU,2017-01-12T13:50:00-1100,31.4,70.62,3.6,350,-14.331,-170.7105,9
